ID,Author,Birth Year,Death Year
513,神部 孝,1901,1938,"Kanbe, Takashi"
514,菊池 幽芳,1870,1947,"Kikuchi, Yuho"
515,菊塚 検校,N/A,1910,"Kikuduka,"
516,貴志 康一,1909,1937,"Kishi,"
517,北村 季春,1872,1931,"Kitamura,"
518,北村 秀俊,1872,1931,"Kitamura,"
519,杵屋 藤三郎　二世,N/A,1896,"Kineya,"
520,杵屋 勘五郎　三世,1815,1877,"Kineya, Kangorou Sansei"
521,杵屋 勘五郎　五世,1875,1917,"Kineya, Kangorou Gosei"
522,杵屋 佐吉　四世,1887,1945,"Kineya, Sakichi Yonsei"
523,杵屋 六左衛門　十三世,1870,1940,"Kineya, Rokuzaemon Jusansei"
524,杵屋 六三郎　四世,1779,1855,"Kineya, Rokusaburo Yonsei"
525,木下 尚江,1869,1937,"Kinoshita, Naoe"
526,木下 利玄,1886,1925,"Kinoshita, Rigen"
527,木村 曙,1872,1890,"Kimura, Akebono"
528,木村 秋生,1903,1946,"Kimura,"
529,木村 泰賢,1881,1931,"Kimura, Taiken"
530,木村 富子,1890,1944,"Kimura, Tomiko"
531,木村 素衛,1905,1946,"Kimura, Motomori"
532,清元 延寿太夫　五代,1862,1940,"Kiyomoto, Enjudayu Godai"
533,清元 きん,N/A,1940,"Kiyomoto, Kin"
534,清元 太兵衛,1873,1937,"Kiyomoto,"
535,桐生 悠々,1873,1941,"Kiryu, Yuyu"
536,草場 精一,1909,1944,"Kusaba,"
537,久保 良英,1883,1942,"Kubo, Yoshihide"
538,久保田 公平,1912,1945,"Kubota, Kohei"
539,栗島 狭衣,1876,1945,"Kurishima, Sagoromo"
540,廚川 白村,1880,1923,"Kuriyagawa, Hakuson"
541,黒板 勝美,1874,1946,"Kuroita, Katsumi"
542,桑木 厳翼,1874,1946,"Kuwaki, Gen'yoku"
543,桑田 春風,1877,1935,"Kuwata, Shunpu"
544,古泉 千樫,1886,1927,"Koizumi, Chikashi"
545,小泉 長三,1878,1941,"Koizumi, Chozo"
546,幸田 延,1870,1946,"Kouda,"
547,幸堂 得知,1843,1913,"Kodo, Tokuchi"
548,河野 武夫,N/A,1936,"Kouno,"
549,河野 通視,1904,1942,"Kouno,"
550,古賀 城武,1860,1943,"Koga,"
551,小島 貞介,1907,1946,"Kojima, Teisuke"
552,小杉 睦郎,1899,1945,"Kosugi,"
553,児玉 花外,1874,1943,"Kodama, Kagai"
554,小寺 融吉,1895,1945,"Kodera, Yukichi"
555,後藤 朝太郎,1881,1945,"Goto, Asataro"
556,近衛 直麿,1900,1932,"Konoe, Naomaro"
557,小林 愛雄,1881,1946,"Kobayashi, Yoshio"
558,小松 検校,N/A,1915,"Komatsu,"
559,小山 作之助,1863,1927,"Koyama, Sakunosuke"
560,近藤 朔風,1880,1915,"Kondou, Sakufuu"
561,近藤 精治,1883,1940,"Kondou,"
562,三枝 義夫,1901,1944,"Saigusa, Yoshio"
563,斎藤 悦子,1905,1928,"Saito, Etsuko"
564,斎藤 秀三郎,1866,1929,"Saito, Hidesaburo"
565,斎藤 緑雨,1868,1904,"Saito, Ryokuu"
566,早乙女 光,1904,1944,"Saotome,"
567,酒井 幽泉,1890,1946,"Sakai,"
568,坂口 昂,1872,1928,"Sakaguchi, Takashi"
569,嵯峨の屋 お室　→矢崎嵯峨の舎,1863,1947,"Saganoya, Omuro"
570,坂本 昌行,N/A,1932,"Sakamoto,"
571,佐久間 政吉,1905,1945,"Sakuma,"
572,桜田 治助　初代,1734,1806,"Sakurada, Jisuke Shodai"
573,笹川 臨風,1870,1949,"Sasakawa, Rinpu"
574,佐々 醒雪,1872,1917,"Sassa, Seisetsu"
575,佐藤 紅緑,1874,1949,"Sato, Koroku"
576,佐藤 仁之助,1869,1939,"Sato, Jinnosuke"
577,佐藤 惣之助,1890,1942,"Sato, Sonosuke"
578,里見 松静,1894,1938,"Satomi,"
579,佐野 文夫,1892,1931,"Sano, Fumio"
580,佐原 盛純,1835,1908,"Sahara, Morizumi"
581,沢 康雄,1888,1932,"Sawa,"
582,沢木 四方吉,1886,1930,"Sawaki, Yomokichi"
583,沢田 撫松,1871,1927,"Sawada, Busho"
584,沢村 寅二郎,1885,1945,"Sawamura, Torajiro"
585,三文字屋 金平　→内田魯庵,1868,1929,"Sanmonjiya, Kinpira"
586,塩井 雨江,1869,1913,"Shioi, Uko"
587,志賀 重昂,1863,1927,"Shiga, Shigetaka"
588,四竈 訥治,1854,1928,"Shikama, Totsuji"
589,繁野 天来,1874,1933,"Shigeno, Tenrai"
590,重野 安繹,1827,1910,"Shigeno, Yasutsugu"
591,志田 十三,1910,1944,"Shida,"
592,篠原 鳳作,1906,1936,"Shinohara, Hosaku"
593,芝 祐夏,1868,1928,"Shiba,"
594,芝 不器男,1903,1930,"Shiba, Fukio"
595,島田 清次郎,1899,1930,"Shimada, Seijiro"
596,島田 青峰,1882,1944,"Shimada, Seiho"
597,島津 久基,1891,1949,"Shimazu, Hisamoto"
598,島津 保次郎,1897,1945,"Shimazu, Yasujiro"
599,島村 抱月,1871,1918,"Shimamura, Hogetsu"
600,清水 金太郎,1889,1932,"Shimizu,"
601,十一谷 義三郎,1897,1937,"Juichiya, Gisaburo"
602,白石 実三,1886,1937,"Shiraishi, Jitsuzo"
603,白鳥 庫吉,1865,1942,"Shiratori, Kurakichi"
604,末広 鉄腸,1849,1896,"Suehiro, Teccho"
605,杉浦 重剛,1855,1924,"Sugiura, Juugou"
606,杉田 久女,1890,1946,"Sugita, Hisajo"
607,杉谷 代水,1874,1915,"Sugitani, Daisui"
608,杉村 楚人冠,1872,1945,"Sugimura, Sojinkan"
609,鈴木 福太郎,1912,1945,"Suzuki,"
610,鈴木 米次郎,1868,1940,"Suzuki, Yonejiro"
611,須藤 南翠,1857,1920,"Sudo, Nansui"
612,関根 正直,1860,1932,"Sekine, Masanao"
613,関屋 敏子,1904,1941,"Sekiya,"
614,瀬戸 英一,1892,1934,"Seto, Eiichi"
615,瀬戸口 藤吉,1868,1941,"Setoguchi,"
616,千家 照子,1896,1932,"Senge,"
617,千家 元麿,1888,1948,"Senge, Motomaro"
618,外山 丶山　→外山正一,1848,1900,"Toyama, Chuzan"
619,園田 てる子,1926,1926,"Sonoda, Teruko"
620,田岡 嶺雲,1870,1912,"Taoka, Reiun"
621,高垣 松雄,1890,1940,"Takagaki, Matsuo"
622,高崎 正風,1836,1912,"Takasaki, Masakaze"
623,高沢 隆,1887,1935,"Takazawa,"
624,高階 哲夫,1896,1945,"Takashina,"
625,高須 芳次郎,1880,1948,"Takasu, Yoshijiro"
626,高田 蝶衣,1886,1930,"Takada, Choi"
627,高田 正章,1903,1944,"Takada,"
628,高橋 箒庵,1861,1937,"Takahashi, Soan"
629,高橋 信夫,1907,1945,"Takahashi,"
630,高峰 筑風,N/A,1936,"Takamine,"
631,高安 月郊,1869,1944,"Takayasu, Gekko"
632,滝 精一,1873,1945,"Taki, Seiichi"
633,滝 廉太郎,1879,1903,"Taki, Rentaro"
634,田口 卯吉,1855,1905,"Taguchi, Ukichi"
635,田口 掬汀,1875,1943,"Taguchi, Kikutei"
636,竹内 勝太郎,1894,1935,"Takeuchi, Katsutaro"
637,竹内 仁,1898,1922,"Takenouchi, Masashi"
638,竹内 栖鳳,1864,1942,"Takeuchi, Seiho"
639,竹内 俊子,1905,1945,"Takeuchi, Toshiko"
640,竹内 延好,1919,1942,"Takeuchi,"
641,竹田 新一郎,N/A,1937,"Takeda,"
642,武信 由太郎,1863,1930,"Takenobu, Yoshitaro"
643,橘 旭翁,1874,1945,"Tachibana,"
644,橘 旭紘,1871,1945,"Tachibana,"
645,橘 英之祐,N/A,1938,"Tachibana,"
646,立田 謙一,1891,1942,"Tatsuta, Ken'ichi"
647,田中 王堂,1868,1932,"Tanaka, Odo"
648,田中 舎身,N/A,1934,"Tanaka,"
649,田中 正造,1841,1913,"Tanaka, Shozo"
650,田中 萃一郎,1873,1923,"Tanaka, Suiichiro"
651,棚橋 梅巷,N/A,1939,"Tanahashi,"
652,田辺 茂,1912,1944,"Tanabe,"
653,田辺 友三郎,N/A,1933,"Tanabe,"
654,田丸 卓郎,1872,1932,"Tamaru, Takuro"
655,田村 俊子,1884,1945,"Tamura, Toshiko"
656,田村 虎蔵,1881,1943,"Tamura,"
657,茅野 蕭々,1883,1946,"Chino, Shosho"
658,茅野 雅子,1880,1946,"Chino, Masako"
659,千葉 亀雄,1878,1935,"Chiba, Kameo"
660,塚原 渋柿園,1848,1917,"Tsukahara, Jushien"
661,塚本 篤夫,1903,1946,"Tsukamoto, Atsuo"
662,津田 青寛,1882,1946,"Tsuda,"
663,角田 浩々歌客,1869,1916,"Kakuda, Kokokakyaku"
664,津村 京村,1893,1937,"Tsumura, Kyoson"
665,伝田 治朗,1886,1945,"Denda,"
666,東海 散士,1852,1922,"Tokai, Sanshi"
667,東儀 鉄笛,1869,1925,"Togi, Tetteki"
668,戸川 残花,1855,1924,"Togawa, Zanka"
669,戸川 秋骨,1871,1939,"Togawa, Shukotsu"
670,常盤 大定,1870,1945,"Tokiwa, Daijo"
671,常盤津 文字兵衛,1856,1924,"Tokiwadu,"
672,徳尾 俊彦,1887,1943,"Tokuo, Toshihiko"
673,得能 文,1866,1945,"Tokuno, Bun"
674,徳山 たまき,1903,1942,"Tokuyama, Tamaki"
675,鳥取 春陽,1900,1932,"Tottori,"
676,戸鞠 雅彦,1908,1946,"Tomari, Masahiko"
677,富田 木歩,1897,1923,"Tomita, Moppo"
678,富永 太郎,1901,1925,"Tominaga, Taro"
679,富本 豊前,1857,1933,"Tomimoto,"
680,豊沢 扇之助,1911,1945,"Toyosawa,"
681,豊田 義一,N/A,1941,"Toyoda,"
682,鳥井 素川,1867,1928,"Torii, Sosen"
683,鳥山 啓,1837,1914,"Toriyama, Hiraku"
684,内藤 鳴雪,1847,1926,"Naito, Meisetsu"
685,那珂 通世,1851,1908,"Naka, Michiyo"
686,永井 ひろ,1868,1936,"Nagai, Hiro"
687,永井 柳太郎,1881,1944,"Nagai, Ryutaro"
688,中尾 茂,1903,1944,"Nakao,"
689,長尾 豊,1889,1936,"Nagao, Yutaka"
690,中沢 臨川,1878,1920,"Nakazawa, Rinsen"
691,中島 歌子,1845,1903,"Nakajima, Utako"
692,中島 孤島,1878,1946,"Nakajima, Koto"
693,中田 章,1886,1931,"Nakada, Akira"
694,仲田 勝之助,1886,1945,"Nakada, Katsunosuke"
695,永田 錦心,1885,1913,"Nagata,"
696,中塚 一碧楼,1887,1946,"Nakatsuka, Ippekiro"
697,中戸川 吉二,1896,1942,"Nakatogawa, Kichiji"
698,長棟 暉友,1888,1945,"Nagamune, Terutomo"
699,中村 数之輔,N/A,1932,"Nakamura,"
700,中村 吉蔵,1877,1941,"Nakamura, Kichizo"
701,中村 敬宇　→中村正直,1832,1891,"Nakamura, Keiu"
702,中村 憲吉,1889,1934,"Nakamura, Kenkichi"
703,中村 秋香,1841,1910,"Nakamura, Akika"
704,中村 達太郎,1860,1942,"Nakamura, Tatsutaro"
705,中村 不折,1866,1943,"Nakamura, Fusetsu"
706,中村 武羅夫,1886,1949,"Nakamura, Murao"
707,半井 桃水,1860,1926,"Nakarai, Tosui"
708,那智 俊宣,N/A,1931,"Nachi,"
709,浪上 義三郎,N/A,1940,"Namiue, Gisaburo"
710,並木 秀夫,1911,1945,"Namiki,"
711,成田 為三,1893,1945,"Narita, Tamezo"
712,成島 柳北,1837,1884,"Narushima, Ryuhoku"
713,名和 梅吉,1874,1945,"Nawa, Umekichi"
714,西 雅雄,1896,1944,"Nishi, Masao"
715,西川 勉,1894,1934,"Nishikawa, Tsutomu"
716,西村 真次,1879,1943,"Nishimura, Shinji"
717,西村 天囚,1865,1924,"Nishimura, Tenshu"
718,新渡戸 稲造,1862,1933,"Nitobe, Inazo"
719,沼波 瓊音,1877,1927,"Nunami, Keion"
720,納所 弁次郎,1865,1936,"Nosho, Benjiro"
721,野間 清治,1878,1938,"Noma, Seiji"
722,野村 芳亭,N/A,1934,"Nomura,"
723,芳賀 矢一,1867,1927,"Haga, Yaichi"
724,萩岡 松韻,1868,1936,"Hagioka,"
725,萩原 恭次郎,1899,1938,"Hagiwara, Kyojiro"
726,長谷川 時雨,1879,1941,"Hasegawa, Shigure"
727,長谷川 千秋,1908,1945,"Hasegawa, Senshu"
728,長谷川 天渓,1876,1940,"Hasegawa, Tenkei"
729,長谷川 安兵衛,1896,1942,"Hasegawa, Yasube"
730,畑 喜代司,N/A,1945,"Hata,"
731,旗野 十一郎,1851,1908,"Hatano, Torihiko"
732,服部 誠一,1841,1908,"Hattori, Seiichi"
733,服部 躬治,1875,1925,"Hattori, Motoharu"
734,浜田 耕作　→浜田青陵,1881,1938,"Hamada, Kosaku"
735,浜田 良隆,N/A,1927,"Hamada,"
736,早川 二郎,1905,1937,"Hayakawa, Jiro"
737,林 大作,1905,1935,"Hayashi, Daisaku"
738,速水 滉,1876,1943,"Hayami, Hiroshi"
739,原 敬,1856,1921,"Hara, Takashi"
740,原口 統三,1927,1946,"Haraguchi, Tozo"
741,原田 熊雄,1888,1946,"Harada, Kumao"
742,原田 光子,1909,1946,"Harada, Mitsuko"
743,阪 正臣,1855,1931,"Ban, Masaomi"
744,樋口 晴雄,1915,1943,"Higuchi,"
745,日比野 勇夫,1893,1928,"Hibino, Isao"
746,平岡 吟舟,1858,1934,"Hiraoka,"
747,平木 白星,1876,1915,"Hiraki, Hakusei"
748,平田 晋策,1904,1936,"Hirata, Shinsaku"
749,平戸 大,N/A,1938,"Hirato, Dai"
750,平福 百穂,1877,1933,"Hirafuku, Hyakusui"
751,広江 八重桜,1879,1945,"Hiroe, Yaezakura"
752,広瀬 渉,1882,1944,"Hirose,"
753,深田 康算,1878,1928,"Fukada, Yasukazu"
754,福士 幸次郎,1889,1946,"Fukushi, Kojiro"
755,福地 桜痴,1841,1906,"Fukuchi, Ochi"
756,福原 鶴三郎,N/A,1924,"Fukuhara,"
757,福本 日南,1857,1921,"Fukumoto, Nichinan"
758,藤井 乙男,1868,1945,"Fujii, Otoo"
759,藤井 清水,1889,1944,"Fujii,"
760,富士川 游,1865,1940,"Fujikawa, Yu"
761,藤田 徳太郎,1901,1945,"Fujita, Tokutaro"
762,富士松 加賀太夫,N/A,1930,"Fujimatsu,"
763,藤原 松三郎,1881,1946,"Fujiwara, Matsusaburo"
764,船橋 栄吉,1889,1932,"Funabashi,"
765,逸見 猶吉,1907,1946,"Henmi, Yukichi"
766,坊田 かずま,1902,1942,"Bouda, Kazuma"
767,本多 謙三,1880,1938,"Honda, Kenzo"
768,本田 美禅,1868,1946,"Honda, Bizen"
769,本地 正輝,1898,1942,"Honchi, Masateru"
770,前田 曙山,1871,1941,"Maeda, Shozan"
771,牧野 喬,1903,1945,"Makino, Takashi"
772,牧野 輝智,1879,1941,"Makino, Terutomo"
773,牧野 伸顕,1861,1949,"Makino, Nobuaki"
774,真下 飛泉,1878,1912,"Mashita, Hisen"
775,増田 篤夫,1891,1936,"Masuda, Atsuo"
776,増地 庸治郎,1896,1945,"Masuchi, Yojiro"
777,町田 桜園,N/A,1928,"Machida, Oen"
778,松井 簡治,1863,1945,"Matsui, Kanji"
779,松居 松翁,1870,1933,"Matsui, Shoo"
780,松岡 静雄,1877,1936,"Matsuoka, Shizuo"
781,松下 大三郎,1878,1935,"Matsushita, Daizaburo"
782,松原 二十三階堂,1866,1935,"Matsubara, Nijusankaido"
783,松本 亦太郎,1865,1943,"Matsumoto, Matataro"
784,松山 武,1898,1938,"Matsuyama, Takeshi"
785,馬淵 冷佑,N/A,1941,"Mabuchi, Reiyu"
786,三浦 吉兵衛,1877,1939,"Miura, Kichibe"
787,三浦 新七,1877,1946,"Miura, Shinshichi"
788,三浦 環,1884,1946,"Miura, Tamaki"
789,三浦 周行,1871,1931,"Miura, Hiroyuki"
790,三ヶ島 葭子,1886,1927,"Mikashima, Yoshiko"
791,三上 参次,1865,1939,"Mikami, Sanji"
792,三木 竹二,1867,1908,"Miki, Takeji"
793,三沢 勝衛,1885,1937,"Misawa, Katsue"
794,三島 中洲,1830,1919,"Mishima, Chushu"
795,水谷 竹紫,1882,1935,"Mizutani, Chikushi"
796,三角 錫子,1872,1921,"Misumi, Suzuko"
797,箕作 元八,1862,1919,"Mitsukuri, Genpachi"
798,三矢 重松,1871,1937,"Mitsuya, Shigematsu"
799,三富 朽葉,1889,1917,"Mitomi, Kuchiha"
800,水上 滝太郎,1887,1940,"Minakami, Takitaro"
801,三宅 幾三郎,1897,1941,"Miyake, Ikusaburo"
802,三宅 花圃,1869,1943,"Miyake, Kaho"
803,三宅 雪嶺,1860,1945,"Miyake, Setsurei"
804,三宅 やす子,1890,1932,"Miyake, Yasuko"
805,宮崎 湖処子,1864,1922,"Miyazaki, Koshoshi"
806,宮崎 三昧,1859,1919,"Miyazaki, Sanmai"
807,宮島 新三郎,1892,1934,"Miyajima, Shinzaburo"
808,宮島 吉敏,1888,1946,"Miyajima, Yoshitoshi"
809,宮原 晃一郎,1882,1945,"Miyahara, Koichiro"
810,村井 弦斎,1863,1927,"Murai, Gensai"
811,村岡 楽童,1881,1940,"Muraoka,"
812,村岡 典嗣,1884,1946,"Muraoka, Tsunetsugu"
813,村岡 櫟斎,N/A,1917,"Muraoka,"
814,村上 鬼城,1865,1938,"Murakami, Kijo"
815,村上 浪六,1865,1944,"Murakami, Namiroku"
816,村川 堅固,1875,1946,"Murakawa, Kengo"
817,村越 国保,N/A,1936,"Murakoshi,"
818,最上 洋,1913,1938,"Mogami,"
819,茂木 蔵之助,1880,1945,"Mogi, Kuranosuke"
820,本居 豊頴,1838,1913,"Motoori, Toyokai"
821,本居 長世,1885,1945,"Motoori, Nagayo"
822,物部 長穂,1888,1940,"Mononobe, Nagaho"
823,森 槐南,1863,1911,"Mori, Kainan"
824,森 春濤,1819,1889,"Mori, Shunto"
825,森田 思軒,1861,1897,"Morita, Shiken"
826,森田 草平,1881,1949,"Morita, Sohei"
827,森本 薫,1912,1946,"Morimoto, Kaoru"
828,森山 汀川,1880,1946,"Moriyama, Teisen"
829,矢崎 弾,1906,1946,"Yazaki, Dan"
830,矢島 籠児,1908,1946,"Yajima,"
831,柳川 春葉,1877,1918,"Yanagawa, Shun'yo"
832,柳原 利次,1902,1937,"Yanagihara,"
833,矢野 竜渓,1851,1931,"Yano, Ryukei"
834,山川 章太郎,1884,1941,"Yamakawa,"
835,山岸 光宣,1879,1943,"Yamagishi, Mitsunobu"
836,山口 雄二,1908,1945,"Yamaguchi,"
837,山路 愛山,1865,1917,"Yamaji, Aizan"
838,山下 検校,N/A,1918,"Yamashita,"
839,山勢 松韻,N/A,1908,"Yamase,"
840,山田 巌,1880,1943,"Yamada, Iwao"
841,山田 源一郎,1869,1927,"Yamada, Gen'ichiro"
842,山田 珠樹,1893,1943,"Yamada, Tamaki"
843,山田 美妙,1868,1910,"Yamada, Bimyo"
844,山中 直治,1906,1936,"Yamanaka,"
845,山野 勝,1906,1944,"Yamano,"
846,山室 軍平,1872,1940,"Yamamuro, Gunpei"
847,山本 孝,1917,1946,"Yamamoto,"
848,結城 よしを,1920,1944,"Yuki, Yoshio"
849,与謝野 鉄幹　→与謝野寛,1873,1935,"Yosano, Tekkan"
850,吉川 秀雄,1882,1944,"Yoshikawa, Hideo"
851,吉住 小十郎,1886,1933,"Yoshizumi, Kojuro"
852,吉田 草紙庵,1875,1946,"Yoshida, Soshian"
853,吉田 東伍,1864,1918,"Yoshida, Togo"
854,吉田 良三,1878,1944,"Yoshida, Ryozo"
855,吉水 錦翁,N/A,1910,"Yoshimizu,"
856,吉村 一昌,N/A,1916,"Yoshimura,"
857,依田 秋圃,1885,1943,"Yoda, Shuho"
858,鷲尾 順敬,1868,1941,"Washio, Junkyo"
859,渡辺 霞亭,1864,1926,"Watanabe, Katei"
860,渡辺 輝美井,1893,1936,"Watanabe,"
861,渡辺 水巴,1882,1946,"Watanabe, Suiha"
862,渡辺 黙禅,1870,1945,"Watanabe, Mokuzen"
863,大島 亮吉,1899,1928,"Oshima, Ryokichi"
864,板倉 勝宣,1898,1923,"Itakura, Katsunobu"
865,瓶井 めぐみ,N/A,N/A,"Kamei, Megumi"
866,狩野 亨吉,1865,1942,"Kano, Kokichi"
867,高橋 是清,1864,1936,"Takahashi, Korekiyo"
868,池宮城 積宝,1893,1951,"Ikemiyagi, Sekiho"
869,永崎 貢,1908,1934,"Nagasaki, Mitsugu"
870,山本 勝治,N/A,1929,"Yamamoto, Katsuji"
871,小野 浩,1894,1933,"Ono, Hiroshi"
872,木内 高音,1896,1951,"Kiuchi, Takane"
873,金田 千鶴,1902,1934,"Kanada, Chizu"
874,尾形 亀之助,1900,1942,"Ogata, Kamenosuke"
879,芥川 竜之介,1892,1927,"Akutagawa, Ryunosuke"
880,枯葉,N/A,N/A,"Kareha,"
881,ブウテ フレデリック,1874,1941,"Boutet, Frederic"
882,プレヴォー マルセル,1862,1941,"Prevost, Marcel"
883,モルナール フェレンツ,1878,1952,"Molnar, Ferenc"
884,ディモフ オシップ,1878,1959,"Dymow, Ossip"
885,与謝野 晶子,1878,1942,"Yosano, Akiko"
886,泉 鏡太郎　→泉鏡花,1873,1939,"Izumi, Kyotaro"
887,ピランデルロ ルイジ,1867,1936,"Pirandello, Luigi"
888,スティーブンソン ロバート・ルイス,1850,1894,"Stevenson, Robert Louis"
890,バリ ジェームス・マシュー,1860,1937,"Barrie, James Matthew"
891,加福 均三,1885,1948,"Kafuku, Kinzo"
892,ケネディ ジョン・フィッツジェラルド,1917,1963,"Kennedy, John Fitzgerald"
893,ジョンソン リンドン,1908,1973,"Jonson, Lyndon"
894,ニクソン リチャード,1913,1994,"Nixon, Richard"
895,カーター ジミー,1924,N/A,"Carter, Jimmy"
896,レーガン ロナルド,1911,N/A,"Reagan, Ronald"
897,ブッシュ ジョージ,1924,N/A,"Bush, George"
898,クリントン ビル,1946,N/A,"Clinton, Bill"
899,ブッシュ ジョージ・ウォーカー,1946,N/A,"Bush, George Walker"
900,橋本 五郎,1903,1948,"Hashimoto, Goro"
901,高瀬 泰司,N/A,N/A,"Takase, Taiji"
902,カント イマヌエル,1724,1804,"Kant, Immanuel"
903,モーパッサン ギ・ド,1850,1893,"Maupassant, Guy De"
904,田沢 稲舟,1874,1896,"Tazawa, Inabune"
905,ホーソーン ナサニエル,1804,1864,"Hawthorne, Nathaniel"
906,豊島 与志雄,1890,1955,"Toyoshima, Yoshio"
907,アンドレーエフ レオニード・ニコラーエヴィチ,1871,1919,"Andreev, Leonid Nikolaevich"
908,坂本 竜馬,1836,1867,"Sakamoto, Ryoma"
909,新居 格,1888,1951,"Nii, Itaru"
910,清沢 洌,1890,1945,"Kiyosawa, Kiyoshi"
911,ささき ふさ,1897,1949,"Sasaki, Fusa"
912,スウィフト ジョナサン,1667,1745,"Swift, Jonathan"
913,sogo,N/A,N/A,"Sogo,"
914,ディケンズ チャールズ,1812,1870,"Dickens, Charles"
915,プラトン,N/A,N/A,"Plato,"
916,芦田 恵之助,1873,1951,"Ashida, Enosuke"
917,臼田 亜浪,1879,1951,"Usuda, Aro"
918,岡 麓,1877,1951,"Oka, Fumoto"
919,加藤 一夫,1887,1951,"Kato, Kazuo"
920,金子 薫園,1876,1951,"Kaneko, Kun'en"
921,佐藤 義亮,1878,1951,"Sato, Yoshisuke"
922,末弘 厳太郎,1888,1951,"Suehiro, Izutaro"
923,朝永 三十郎,1871,1951,"Tomonaga, Sanjuro"
924,永井 隆,1908,1951,"Nagai, Takashi"
925,原 石鼎,1886,1951,"Hara, Sekitei"
926,福井 久蔵,1867,1951,"Fukui, Kyuzo"
927,穂積 重遠,1883,1951,"Hozumi, Shigeto"
928,前田 夕暮,1883,1951,"Maeda, Yugure"
929,宮島 資夫,1886,1951,"Miyajima, Sukeo"
930,山本 禾太郎,1889,1951,"Yamamoto, Nogitaro"
931,米窪 満亮,1888,1951,"Yonekubo, Mitsusuke"
932,鷲尾 雨工,1892,1951,"Washio, Uko"
933,折口 信夫,1887,1953,"Orikuchi, Shinobu"
934,塚原 蓼洲　→塚原渋柿園,1848,1917,"Tsukahara, Ryoshu"
935,レオニード Ｎ．アンドレーエフ,N/A,N/A,N/A
936,小泉 丹,1882,1952,"Koizumi, Makoto"
937,メンデル グレゴール・ヨハン,1822,1884,"Mendel, Gregor Johann"
938,観世 左近　二十四世,1895,1939,"Kanze, Sakon Nijuyonsei"
939,野口 米次郎,1875,1947,"Noguchi, Yonejiro"
940,別所 梅之助,1872,1945,"Bessho, Umenosuke"
941,水野 葉舟,1883,1947,"Mizuno, Yoshu"
942,福沢 桃介,1868,1938,"Fukuzawa, Momosuke"
943,北陸の子供たち２１名,N/A,N/A,"Hokurikunokodomotachinijuichimei,"
944,荒木 竹翁　→荒木古童,1823,1908,"Araki, Chikuo"
945,赤星 ヨウ,1890,1942,"Akaboshi, Yo"
946,荒木 巍,1905,1950,"Araki, Takashi"
947,池崎 忠孝,1891,1949,"Ikezaki, Tadataka"
948,市島 謙吉　→市島春城,1860,1944,"Ichijima, Kenkichi"
949,今井 登志喜,1886,1950,"Imai, Toshiki"
950,犬童 球渓,1879,1943,"Indo, Kyukei"
952,鍵谷 徳三郎,1867,1924,"Kagitani, Tokusaburo"
953,岸田 辰弥,1892,1944,"Kishida, Tatsuya"
954,木村 荘太,1889,1950,"Kimura, Sota"
955,児島 喜久雄,1887,1950,"Kojima, Kikuo"
956,白柳 秀湖,1884,1950,"Shirayanagi, Shuko"
957,鈴木 梅太郎,1874,1943,"Suzuki, Umetaro"
958,瀬川 如皐　四世,1857,1938,"Segawa, Joko Yonsei"
959,相馬 御風,1883,1950,"Soma, Gyofu"
960,山川 丙三郎,1876,1947,"Yamakawa, Heisaburo"
961,ダンテ アリギエリ,1265,1321,"Dante, Alighieri"
962,徳田 秋聲　→徳田秋声,1872,1943,"Tokuda, Shusei"
963,野上 豊一郎,1883,1950,"Nogami, Toyoichiro"
964,野上 豐一郎　→野上豊一郎,1883,1950,"Nogami, Toyoichiro"
965,丘 丘十郎　→海野十三,1897,1949,"Oka, Kyujuro"
966,海若 藍平　→夢野久作,1889,1936,"Kaijaku, Ranpei"
967,香倶土 三鳥　→夢野久作,1889,1936,"Kagutsuchi, Midori"
968,かぐつち みどり　→夢野久作,1889,1936,"Kagutsuchi, Midori"
969,杉山 萠円　→夢野久作,1889,1936,"Sugiyama, Hoen"
970,とだ けん　→夢野久作,1889,1936,"Toda, Ken"
971,萠円 　→夢野久作,1889,1936,"Hoen,"
972,萠円山人 　→夢野久作,1889,1936,"Hoensanjin,"
973,三鳥山人 　→夢野久作,1889,1936,"Midorisanjin,"
974,黒木 舜平　→太宰治,1909,1948,"Kuroki, Shunpei"
975,薄田 淳介　→薄田泣菫,1877,1945,"Susukida, Junsuke"
976,水上 瀧太郎　→水上滝太郎,1887,1940,"Minakami, Takitaro"
977,竹越 三叉,1865,1950,"Takekoshi, Sansa"
978,竹越 与三郎　→竹越三叉,1865,1950,"Takekoshi, Yosaburo"
979,竹越 與三郎　→竹越三叉,1865,1950,"Takekoshi, Yosaburo"
980,外山 正一,1848,1900,"Toyama, Masakazu"
981,巌谷 小波,1870,1933,"Iwaya, Sazanami"
982,尾形 龜之助　→尾形亀之助,1900,1942,"Ogata, Kamenosuke"
983,小栗 蟲太郎　→小栗虫太郎,1901,1946,"Oguri, Mushitaro"
984,葛西 善蔵,1887,1928,"Kasai, Zenzo"
985,黒島 傳治　→黒島伝治,1898,1943,"Kuroshima, Denji"
986,桑原 隲藏　→桑原隲蔵,1871,1931,"Kuwabara, Jitsuzo"
987,齋藤 緑雨　→斎藤緑雨,1868,1904,"Saito, Ryokuu"
988,世阿彌 元清　→世阿弥元清,1363,1443,"Zeami, Motokiyo"
